Organization Name,Organization Name URL,Number of Employees,Industries,Last Funding Type,Contact Job Departments,IPqwery - Patents Granted,Number of Investments,IPO Status,IPqwery - Total Patents,Closed Date,Closed Date Precision,Headquarters Location,Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Description,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Hub Tags,Number of Articles,Full Description,Actively Hiring,Announced Date,Announced Date Precision
ZyCrypto,https://www.crunchbase.com/organization/zycrypto,11-50,"Cryptocurrency, Media and Entertainment, News",,,,,Private,,,,"London, England, United Kingdom",,,,"Online Cryptocurrency Media Outlet That Publishes Breaking News, Expert Opinions, Analysis, Reviews, And So Much More.",2017-05-01,day,Active,,,For Profit,https://zycrypto.com,https://twitter.com/zycrypto,https://facebook.com/zycrypto,https://linkedin/company/zycrypto,cb@zycrypto.com,,,,,,,
Ztudium,https://www.crunchbase.com/organization/ztudium-limited,11-50,"Artificial Intelligence, Big Data, Blockchain, E-Commerce, FinTech, Market Research, Publishing, SaaS, Social Media",,Management,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,"ztudium is maker of the industry 4.0 technologies for the future present: blockchain, AI and digital transformation solutions",2011-08-17,day,Active,,,For Profit,http://www.ztudium.com/,https://twitter.com/ztudium,https://www.facebook.com/466084890109864,https://www.linkedin.com/company/ztudium,info@ztudium.com,447942284400,,6,"ztudium is maker of the industry 4.0 technologies for the future present.  We have a blockchain AI digital transformation DNA in everything we do. We are building proprietary leading platforms, software products for businesses and governments.  https://www.ztudium.com products / platforms: https://www.blocksdna.com is an AI driven blockchain platform and app SaaS A customisable, white-label SaaS product, clients can pick and choose modules of functionality depending on their market and needs. We use Distributed Ledger Technology to store user ID, transaction data and to track and reward your most valuable or influential customers. Our wallet enables FIAT and Crypto transfers. Our distributed Marketplace enables m-commerce. All based around our own messaging service that allows peer to peer transactions, sharing of images, video and files. https://www.intelligenthq.com/ Social Business Intelligence & market place where professionals and learning organizations meet. https://www.openbusinesscouncil.org The leading business platform and directory for SMEs startups & business empowerment https://www.hedgethink.com The professional platform for Investment fund managers We use Distributed Ledger Technology to store user ID, transaction data and to track and reward your most valuable or influential customers. Our wallet enables FIAT and Crypto transfers. Our distributed Marketplace enables m-commerce. All based around our own messaging service that allows peer to peer transactions, sharing of images, video and files. https://www.intelligenthq.com/ Social Business Intelligence & market place where professionals and learning organizations meet. https://www.openbusinesscouncil.org The leading business platform and directory for SMEs startups & business empowerment https://www.tradersdna.com The professional platform / education for Traders, investors pro and novices ztudium Summary of business and products: R&D (swarm algorithm / social media and big data engagement tools) Top level content and Key account sales. Overall project management and development. Online Business education targeting professionals and organisations. Directory and heat map of top global business schools. Build in solutions tools for reach and amplification in networks, social media audience and subscribers.",,,
Zortrex,https://www.crunchbase.com/organization/zortrex,1-10,"Blockchain, Cyber Security, Information Technology",,,,,Private,,,,"Edinburgh, Edinburgh, City of, United Kingdom",,,,Zortrex is a simple and reliable tokenization framework that provides an unprecedented solution for transaction protection and integrity.,2017-01-01,day,Active,,,For Profit,http://zortrex.com,https://twitter.com/zortrexvault,,https://www.linkedin.com/company/zortrex-ltd/,info@Zortrex.com,0203 355 9770,,1,,,,
Zodia Markets,https://www.crunchbase.com/organization/zodia-markets,11-50,"Asset Management, Blockchain, Cryptocurrency, Financial Services, Trading Platform",,"Finance, Management",,,Private,,,,"London, England, United Kingdom",,,$1M to $10M,"Zodia Markets is a digital asset trading platform that provides custody of digital assets, brokerage, trade, investments, and exchange.",2021-01-01,year,Active,,,For Profit,https://zodia-markets.com,https://twitter.com/zodiamarkets,,https://www.linkedin.com/company/zodia-markets/,contact@zodia-markets.com,,,3,,,,
Zodia Custody,https://www.crunchbase.com/organization/zodia-custody,11-50,"Asset Management, Cryptocurrency, Financial Services",,"Engineering, Management, Operations",,,Private,,,,"London, England, United Kingdom",,,,Zodia Custody is a cryptoasset custodian for institutional investors.,2020-01-01,year,Active,,,For Profit,https://zodia.io,,,https://www.linkedin.com/company/zodiacustody,contact@zodia.io,,,7,,,,
Zloadr,https://www.crunchbase.com/organization/zloadr,1-10,"Blockchain, Cryptocurrency, Software, Web Apps",Seed,,,,Private,,,,"London, England, United Kingdom",,,$10M to $50M,"Zloadr is a blockchain development platform providing directories, web3 developer tools, smart contracts, dApps & APIs.",2017-09-30,day,Active,,,For Profit,https://www.zloadr.com,https://twitter.com/zloadr,https://www.facebook.com/zloadrmedia/,https://www.linkedin.com/company/zloadr,support@zloadr.com,+447517026526,,10,"Zloadr is a blockchain development platform providing directories, web3 developer tools, smart contracts, dApps & APIs.",,,
Zeux,https://www.crunchbase.com/organization/zeux,11-50,"Blockchain, Financial Services",Series A,"Engineering, Operations",,,Private,,,,"London, England, United Kingdom",,,,Zeux is a comprehensive financial institution headquartered in the UK that provides bespoke banking and investment services.,2017-11-01,month,Active,,,For Profit,https://www.zeux.com/,,,https://www.linkedin.com/company/zeux/,hello@zeux.com,,,1,,,,
Zeta Markets,https://www.crunchbase.com/organization/zeta-markets,1-10,"Apps, Blockchain, Finance, Financial Exchanges",Seed,,,,Private,,,,"Newyork, Argyll and Bute, United Kingdom",,,,Zeta Markets decentralizes finance (DeFi) futures and options exchange built on Solana.,2020-01-01,year,Active,,,For Profit,https://zeta.markets/,https://twitter.com/ZetaMarkets,,,,,,2,"Zeta Markets is an under-collateralized DeFi derivatives platform that offers liquid derivatives trading to both individuals and institutions. Zeta Markets offers DeFi derivatives, allowing anyone to hedge, speculate, and take positions on an infinite number of market movements. Zeta Markets uses Solana's censorship-resistant infrastructure to offer users pricing updates, liquidations, the capacity to execute trades, and the ability to settle positions in less than a second for less than one cent in gas costs.",,,
Zeruxs,https://www.crunchbase.com/organization/zeruxs-limited,101-250,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, Business Intelligence, Internet of Things, Software, Virtual Reality, Virtual World",,,,,Private,,,,"London, England, United Kingdom",,,,The company provides software development solutions and helps transform business ecosystems by using innovative technologies.,2020-10-27,day,Active,,,For Profit,http://zeruxs.com,,,,hira@zeruxs.com,,,,"The company provides software development solutions and helps transform business ecosystems by using innovative technologies; mainly focused on but not limited to Blockchain and Internet of Things (IoT) technology for startups as well as enterprises.  TARGET INDUSTRIES: Banking & Finance, E-commerce & Retail, Education & E-Learning, Government & Semi-Government, Healthcare, Insurance, IT & Consulting, Manufacturing, Media & Entertainment, News & Publication, Supply Chain & Logistics, Telecom. OUR KEY SERVICES: Blockchain Technology Development & Implementation, IoT (Internet of Things), End-to-End Project Engineering, Enterprise Digital Transformation, Mobile Applications, Web Development, Cloud Computing, AI & ML Data Science, Devops, QA & Testing, SAP, UX / UI, Design Software Consulting, Internet Marketing, Team Augmentation (Resource as a Service - Offshore, Onsite & Hybrid - ODC / BOT).",,,
Zerado,https://www.crunchbase.com/organization/zerado,1-10,"Blockchain, Computer, Network Security",,,,,Private,,,,"London, England, United Kingdom",,,,Zerado is a technology consulting and product development company.,2016-01-01,year,Active,,,For Profit,http://zerado.com/en/,https://twitter.com/code2zero,,https://www.linkedin.com/company/zerado-limited/,contact@zerado.com,,,,Zerado is a technology consulting and product development company that helps clients develop and implement blockchain technologies.,,,
