Organization Name,Organization Name URL,Number of Employees,Industries,Last Funding Type,Contact Job Departments,IPqwery - Patents Granted,Number of Investments,IPO Status,IPqwery - Total Patents,Closed Date,Closed Date Precision,Headquarters Location,Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Description,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Hub Tags,Number of Articles,Full Description,Actively Hiring,Announced Date,Announced Date Precision
0Chain,https://www.crunchbase.com/organization/Zus-Network,1-10,"Blockchain, Cyber Security, Data Storage",Seed,"Management, Marketing, Operations",,,Private,,,,"Cupertino, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,"0Chain is a blockchain-secure data protection platform - near-impossible to breach, reduces liability, audit, and dispute resolution costs.",2017-07-01,month,Active,,,For Profit,https://0chain.net,https://twitter.com/0chain,https://www.facebook.com/0chain,https://www.linkedin.com/company/0chain,zero@0chain.net,,,1,"0Chain is a blockchain-secure data protection platform that is near-impossible to breach and provides auditable security, privacy, and transparency to reduce liability, audit, and dispute resolution costs. We have partnerships with Oracle and AWS Blockchain platforms to provide off-chain data protection and usage for applications in Identity, Healthcare, Supply Chain, Banking, Telecom, and GDPR/CCPA Compliance. We have filed several patents, published academic papers, and tested our code as open-source in the blockchain community. Learn more at: https://0chain.net",,,
0xArt,https://www.crunchbase.com/organization/0xart,1-10,"Art, Artificial Intelligence, Blockchain, E-Commerce, Graphic Design, Software",,,,,Private,,,,"Austin, Texas, United States",Southern US,,,"0xArt is an AI based art and design company based out of Austin, Texas.",2021-10-06,day,Active,,,For Profit,https://0xart.io,https://twitter.com/0xartclub,,,,,,,"We specialize in leveraging computer generated art (using Artificial Intelligence) paired with human designers to create awesome designs for various categories and products. Mantra: ""Artificial Intelligence based art curation for the next digital revolution""  Content Streams: Non-Fungible Token (NFT), Online Sales",,,
0xEssential,https://www.crunchbase.com/organization/0xessential,1-10,"Bitcoin, Blockchain, Cryptocurrency, FinTech",,,,,Private,,,,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",,,0xEssential enables digital asset ownership through portability and offers tools and platforms that helps create NFTs.,2021-01-01,year,Active,,,For Profit,https://0xessential.com/,https://twitter.com/0xEssential,,,,845-594-6543,,,"0xEssential enables digital asset ownership through portability and offers tools and platforms that help create NFTs. The company was founded in 2021 and is headquartered in Brooklyn, New York, United States.",,,
100xCoin,https://www.crunchbase.com/organization/100xcoin,1-10,"Blockchain, Cryptocurrency, Information Technology",,,,,Private,,,,"Las Vegas, Nevada, United States",Western US,,,100xCoin is an auto-liquidity and auto-deflationary coin built on the binance smart chain.,2021-01-01,year,Active,,,For Profit,https://www.100xcoin.io,https://twitter.com/100XCoin_,https://www.facebook.com/100xcoinFB,https://www.linkedin.com/company/100xcoin,info@100xcoin.io,,,,,,,
101,https://www.crunchbase.com/organization/101-0346,1-10,"Blockchain, CMS, Content Marketing, Cryptocurrency, E-Learning, EdTech, Education",Pre-Seed,,,,Private,,,,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",,,A course platform with web3 rewards,2022-01-01,day,Active,,,For Profit,https://101.xyz/,https://twitter.com/101dotxyz,,,,,,,"101 is a community education platform, powered by web3 technology.",,,
10XTS,https://www.crunchbase.com/organization/10xts,1-10,"Artificial Intelligence, Blockchain, Enterprise Software, Financial Services, FinTech, GovTech, Legal Tech, Machine Learning, Software, Software Engineering",Seed,"Engineering, Management, Medical & Science, Operations",,,Private,,,,"Cincinnati, Ohio, United States","Great Lakes, Midwestern US",,$1M to $10M,"We make governance, risk, and compliance simple.",2017-06-01,day,Active,,,For Profit,https://10xts.com,https://www.twitter.com/go10xts,,https://www.linkedin.com/company/22325712/,info@10xts.com,,,2,"10XTS combines advanced enterprise architecture, software development, data science, and artificial intelligence with product management, capital, and marketing – to launch new platforms, business models and products. Our flagship product XDEX is a crypto asset management cloud that allows the tokenization of real-world assets.",,,
1confirmation,https://www.crunchbase.com/organization/1confirmation,1-10,"Blockchain, Cryptocurrency, Venture Capital",Seed,"Management, Operations",,38.0,Private,,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,Supporting teams fueling the decentralization of the web and society,2017-12-01,month,Active,,,,http://www.1confirmation.com/,https://twitter.com/1confirmation,,https://www.linkedin.com/company/1confirmation/,,,,3,,,,
1Konto,https://www.crunchbase.com/organization/1konto,1-10,"Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech",Seed,"Engineering, Management, Operations",,,Private,,,,"North Wales, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",,,Cryptocurrency Broker Dealer,2017-12-25,day,Active,,,For Profit,https://www.1konto.com,https://twitter.com/1_Konto,,,info@1konto.com,,,1,"1konto, meaning 1 account in German, will be a cryptocurrency focused Broker/Dealer connecting the fragmented market enabling traders access to multiple exchanges through one account.",,,
2 Waters Park,https://www.crunchbase.com/organization/2-waters-park,1-10,"Blockchain, Communities, Events, Internet, Lifestyle, Real Estate",,,,,Private,,,,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,Less than $1M,Blockchain Coworking Space in San Mateo,2018-05-01,day,Active,,,For Profit,https://2waterspark.com,https://twitter.com/hello_waters,https://www.facebook.com/2waterspark/,https://www.linkedin.com/company/2-waters-park/,hello@2waterspark.com,(650) 865-3980,,,"2 Waters Park opened its first ever professionally managed coworking space at the beginning of the month, May 1, 2018, to provide the clients with extensive private office, dedicated desk, membership, meeting room, event space, weekly community events, and much more. The facilities include amenities and other additional perks such as Gigabit internet connection, daily cleaning, 24/7 building access, micro-roasted coffee, business-class printers and much more.",,,
22block Studios,https://www.crunchbase.com/organization/22block-studios,1-10,"Augmented Reality, Blockchain, Gaming, Music Label, Virtual Reality",Pre-Seed,,,,Private,,,,"West Hollywood, California, United States","Greater Los Angeles Area, West Coast, Western US",,,"Digital Media creators, NFT, Metaverse, Blockchain",2022-01-01,year,Active,,,For Profit,https://22block.click,https://www.twitter.com/22blockmedia,https://www.facebook.com/22blockmedia,https://www.linkedin.com/company/7938919/admin/,22block@22Blockverse.club,657-262-9756,,,"22Block Studios.A Team of Artists, Musicians, Clothing Designers, Architectures & graphic designers all teaming up to create  Web3.0 Metaverse Platform,  22Block a established Digital Music Record Label with over 55 million streams worldwide, Creating a Artist Focused Metaverse, using NFTs To Change the Way Music Creators, Receive Royalties, Deliver Music Experiences, & Digital Collectibles, While Offering Fans, Early Supporters, investors, a passive income, from Profit Sharing, Royalties offered just for Holding Music Collectables, though Smart Contracts on the Blockchain   22Block Started as a Music & Media Company/ hip Hop group 2001, from Niagara Falls, NY our music & games are on every streaming platform, like pandora, Apple Music, & Spotify, we have provided services for years to artists, film Makers, and  producers, helping them stay on the cutting edge of Music & Technology, like video games, & mobile apps,",,,
22X Fund,https://www.crunchbase.com/organization/22x-fund,1-10,"Banking, Blockchain, Crowdfunding",Pre-Seed,,,,Private,,,,"Cupertino, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,$1M to $10M,One Token = Equity in 30 Startups,2018-01-01,month,Active,,,For Profit,http://www.22xfund.com,https://twitter.com/22xfund,,https://www.linkedin.com/company/22xfund/,hello@22xfund.com,,,,"22X Ltd. (“22X”) is issuing tokens (“22X Tokens”) that gives qualified investors exposure to equity in up to 30 global startups, that are all alumni of the 500 Startups Global Seed Accelerator program.  In connection with this issuance, 22X is seeking to turn venture capital on its head by pre-selecting a diverse group of companies that are expected to be fast- growth, and providing investors with an opportunity to indirectly invest in these companies without paying the high minimums and large fees associated with venture capital investment, by purchasing 22X Tokens.",,,
"360 Mining, Inc.",https://www.crunchbase.com/organization/360-mining-inc,1-10,"Bitcoin, Energy, Oil and Gas",Seed,,,,Private,,,,"Austin, Texas, United States",Southern US,,,Investing in U.S. natural gas to opt out of the legacy financial system.,2021-11-01,month,Active,,,For Profit,https://www.360mining.com/,https://twitter.com/360MiningInc,,https://www.linkedin.com/company/360-mining-inc,info@360mining.com,,,1,"360 Mining is a vertically integrated Bitcoin mining company that owns, develops and operates natural gas and power generation assets in the United States. By monetizing natural gas across three uncorrelated commodity markets (Bitcoin, electricity sales, gas sales), 360 Mining is able to maximize financial performance and eliminate single commodity risk.",,,
37coins,https://www.crunchbase.com/organization/37coins,1-10,"Banking, Bitcoin, Finance",Venture - Series Unknown,Operations,,,Private,,,,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,,"We are committed to making bitcoin easy, secure to use, and accessible to everyone.",2014-01-01,year,Active,,,For Profit,http://www.37coins.com,http://twitter.com/37coins,http://www.facebook.com/37coins,http://www.linkedin.com/company/5178970,contact@37coins.com,(909) 304-2150,,7,"37coins is a bitcoin startup based in Sunnyvale, California and currently a participant of Plug and Play Tech Center's bitcoin accelerator program. It provides SMS bitcoin wallet service for the unbanked and unteched in developing economies without Internet access.  Individuals with the Internet can sign up to be gateway operator to meditate the transaction and to earn fee.  Launched in March, 37coins has growing partnerships worldwide in Singapore and Philippines and hopes to make bitcoin more accessible to the global population with its seamless SMS technology.",,,
